,segmentId,system1Id,system2Id,system3Id,system1rank,system2rank,system3rank
0,0,LoLa,Ranta,Baseline,1,2,3
1,0,LoLa,Ranta,Baseline,1,2,3
2,0,LoLa,Ranta,Baseline,2,1,3
3,0,LoLa,Ranta,Baseline,1,3,2
4,0,LoLa,Ranta,Baseline,1,2,3
5,0,LoLa,Ranta,Baseline,1,2,3
6,1,Baseline,LoLa,Ranta,2,1,2
7,1,Baseline,LoLa,Ranta,2,1,2
8,1,Baseline,LoLa,Ranta,2,1,3
9,1,Baseline,LoLa,Ranta,2,1,2
10,1,Baseline,LoLa,Ranta,2,1,2
11,1,Baseline,LoLa,Ranta,3,1,2
12,2,LoLa,Baseline,Ranta,1,3,2
13,2,LoLa,Baseline,Ranta,1,3,2
14,2,LoLa,Baseline,Ranta,1,2,3
15,2,LoLa,Baseline,Ranta,1,3,2
16,2,LoLa,Baseline,Ranta,1,3,2
17,2,LoLa,Baseline,Ranta,1,2,2
18,3,Ranta,Baseline,LoLa,1,2,1
19,3,Ranta,Baseline,LoLa,1,2,1
20,3,Ranta,Baseline,LoLa,1,2,1
21,3,Ranta,Baseline,LoLa,1,2,1
22,3,Ranta,Baseline,LoLa,1,2,1
23,3,Ranta,Baseline,LoLa,1,2,1
24,4,Ranta,Baseline,LoLa,2,2,1
25,4,Ranta,Baseline,LoLa,3,2,1
26,4,Ranta,Baseline,LoLa,2,2,1
27,4,Ranta,Baseline,LoLa,2,2,1
28,4,Ranta,Baseline,LoLa,3,2,1
29,4,Ranta,Baseline,LoLa,2,3,1
30,5,LoLa,Ranta,Baseline,1,1,1
31,5,LoLa,Ranta,Baseline,1,1,1
32,5,LoLa,Ranta,Baseline,1,1,1
33,5,LoLa,Ranta,Baseline,1,1,1
34,5,LoLa,Ranta,Baseline,2,2,2
35,5,LoLa,Ranta,Baseline,1,1,1
36,6,LoLa,Baseline,Ranta,1,2,1
37,6,LoLa,Baseline,Ranta,1,2,1
38,6,LoLa,Baseline,Ranta,1,2,1
39,6,LoLa,Baseline,Ranta,1,1,1
40,6,LoLa,Baseline,Ranta,1,2,1
41,6,LoLa,Baseline,Ranta,1,2,1
42,7,Baseline,Ranta,LoLa,3,1,2
43,7,Baseline,Ranta,LoLa,3,1,2
44,7,Baseline,Ranta,LoLa,3,1,2
45,7,Baseline,Ranta,LoLa,3,1,2
46,7,Baseline,Ranta,LoLa,1,2,3
47,7,Baseline,Ranta,LoLa,3,2,1
48,8,Baseline,Ranta,LoLa,3,2,1
49,8,Baseline,Ranta,LoLa,2,2,1
50,8,Baseline,Ranta,LoLa,3,2,1
51,8,Baseline,Ranta,LoLa,2,2,1
52,8,Baseline,Ranta,LoLa,2,2,1
53,8,Baseline,Ranta,LoLa,2,2,1
54,9,Baseline,Ranta,LoLa,2,2,1
55,9,Baseline,Ranta,LoLa,1,1,2
56,9,Baseline,Ranta,LoLa,2,2,1
57,9,Baseline,Ranta,LoLa,2,2,1
58,9,Baseline,Ranta,LoLa,2,2,1
59,9,Baseline,Ranta,LoLa,2,2,1
60,10,LoLa,Ranta,Baseline,1,1,1
61,10,LoLa,Ranta,Baseline,1,1,1
62,10,LoLa,Ranta,Baseline,2,1,2
63,10,LoLa,Ranta,Baseline,1,1,1
64,10,LoLa,Ranta,Baseline,2,2,2
65,10,LoLa,Ranta,Baseline,1,1,1
66,11,Baseline,LoLa,Ranta,2,1,2
67,11,Baseline,LoLa,Ranta,2,1,2
68,11,Baseline,LoLa,Ranta,2,1,2
69,11,Baseline,LoLa,Ranta,2,1,2
70,11,Baseline,LoLa,Ranta,3,1,2
71,11,Baseline,LoLa,Ranta,2,1,2
72,12,Ranta,Baseline,LoLa,2,3,1
73,12,Ranta,Baseline,LoLa,2,3,1
74,12,Ranta,Baseline,LoLa,2,3,1
75,12,Ranta,Baseline,LoLa,1,3,2
76,12,Ranta,Baseline,LoLa,1,3,2
77,12,Ranta,Baseline,LoLa,2,3,1
78,13,Baseline,LoLa,Ranta,2,1,2
79,13,Baseline,LoLa,Ranta,2,1,2
80,13,Baseline,LoLa,Ranta,2,1,2
81,13,Baseline,LoLa,Ranta,2,1,2
82,13,Baseline,LoLa,Ranta,2,1,2
83,13,Baseline,LoLa,Ranta,2,1,2
84,14,Baseline,LoLa,Ranta,3,1,2
