,segmentId,system1Id,system2Id,system3Id,system1rank,system2rank,system3rank
0,2,LoLa,Baseline,Ranta,1,3,2
1,2,LoLa,Baseline,Ranta,1,3,2
2,2,LoLa,Baseline,Ranta,1,2,3
3,2,LoLa,Baseline,Ranta,1,3,2
4,2,LoLa,Baseline,Ranta,1,3,2
5,2,LoLa,Baseline,Ranta,1,2,2
6,11,Baseline,LoLa,Ranta,2,1,2
7,11,Baseline,LoLa,Ranta,2,1,2
8,11,Baseline,LoLa,Ranta,2,1,2
9,11,Baseline,LoLa,Ranta,2,1,2
10,11,Baseline,LoLa,Ranta,3,1,2
11,11,Baseline,LoLa,Ranta,2,1,2
12,13,Baseline,LoLa,Ranta,2,1,2
13,13,Baseline,LoLa,Ranta,2,1,2
14,13,Baseline,LoLa,Ranta,2,1,2
15,13,Baseline,LoLa,Ranta,2,1,2
16,13,Baseline,LoLa,Ranta,2,1,2
17,13,Baseline,LoLa,Ranta,2,1,2
18,14,Baseline,LoLa,Ranta,3,1,2
19,14,Baseline,LoLa,Ranta,2,1,3
20,14,Baseline,LoLa,Ranta,3,1,2
21,14,Baseline,LoLa,Ranta,3,1,2
22,14,Baseline,LoLa,Ranta,3,1,2
23,14,Baseline,LoLa,Ranta,3,1,2
24,15,LoLa,Baseline,Ranta,1,3,2
25,15,LoLa,Baseline,Ranta,1,3,2
26,15,LoLa,Baseline,Ranta,1,3,2
27,15,LoLa,Baseline,Ranta,1,3,2
28,15,LoLa,Baseline,Ranta,1,3,2
29,15,LoLa,Baseline,Ranta,1,3,2
30,16,LoLa,Ranta,Baseline,1,2,3
31,16,LoLa,Ranta,Baseline,2,1,3
32,16,LoLa,Ranta,Baseline,1,2,3
33,16,LoLa,Ranta,Baseline,1,2,3
34,16,LoLa,Ranta,Baseline,1,2,3
35,16,LoLa,Ranta,Baseline,3,1,2
36,17,Baseline,Ranta,LoLa,3,2,1
37,17,Baseline,Ranta,LoLa,3,2,1
38,17,Baseline,Ranta,LoLa,3,2,1
39,17,Baseline,Ranta,LoLa,3,2,1
40,17,Baseline,Ranta,LoLa,3,2,1
41,17,Baseline,Ranta,LoLa,3,2,1
42,18,Baseline,Ranta,LoLa,2,2,1
43,18,Baseline,Ranta,LoLa,2,2,1
44,18,Baseline,Ranta,LoLa,2,2,1
45,18,Baseline,Ranta,LoLa,2,2,1
46,18,Baseline,Ranta,LoLa,2,2,1
47,18,Baseline,Ranta,LoLa,2,2,1
48,19,LoLa,Ranta,Baseline,1,2,2
49,19,LoLa,Ranta,Baseline,1,2,2
50,19,LoLa,Ranta,Baseline,1,2,2
51,19,LoLa,Ranta,Baseline,1,2,2
52,19,LoLa,Ranta,Baseline,1,2,2
53,19,LoLa,Ranta,Baseline,1,2,2
54,2,LoLa,Baseline,Ranta,1,2,3
55,2,LoLa,Baseline,Ranta,1,2,3
56,2,LoLa,Baseline,Ranta,1,2,3
57,2,LoLa,Baseline,Ranta,1,3,2
58,2,LoLa,Baseline,Ranta,1,2,3
59,2,LoLa,Baseline,Ranta,1,2,3
60,2,LoLa,Baseline,Ranta,1,2,3
61,2,LoLa,Baseline,Ranta,1,3,2
62,11,Baseline,LoLa,Ranta,3,1,3
63,11,Baseline,LoLa,Ranta,1,2,1
64,11,Baseline,LoLa,Ranta,2,1,2
65,11,Baseline,LoLa,Ranta,2,1,2
66,11,Baseline,LoLa,Ranta,3,1,3
67,11,Baseline,LoLa,Ranta,1,2,1
68,11,Baseline,LoLa,Ranta,1,2,1
69,11,Baseline,LoLa,Ranta,3,1,3
70,13,Baseline,LoLa,Ranta,2,1,2
71,13,Baseline,LoLa,Ranta,2,1,2
72,13,Baseline,LoLa,Ranta,2,1,2
73,13,Baseline,LoLa,Ranta,2,1,2
74,13,Baseline,LoLa,Ranta,3,1,3
75,13,Baseline,LoLa,Ranta,2,1,2
76,13,Baseline,LoLa,Ranta,2,1,2
77,13,Baseline,LoLa,Ranta,3,1,3
78,14,Baseline,LoLa,Ranta,3,1,2
79,14,Baseline,LoLa,Ranta,3,1,2
80,14,Baseline,LoLa,Ranta,3,1,2
81,14,Baseline,LoLa,Ranta,2,1,1
82,14,Baseline,LoLa,Ranta,3,2,1
83,14,Baseline,LoLa,Ranta,1,2,3
84,14,Baseline,LoLa,Ranta,1,2,2
85,14,Baseline,LoLa,Ranta,2,1,3
86,15,LoLa,Baseline,Ranta,1,3,2
87,15,LoLa,Baseline,Ranta,1,3,2
88,15,LoLa,Baseline,Ranta,1,3,2
89,15,LoLa,Baseline,Ranta,1,3,2
90,15,LoLa,Baseline,Ranta,1,3,2
91,15,LoLa,Baseline,Ranta,1,3,2
92,15,LoLa,Baseline,Ranta,1,2,3
93,15,LoLa,Baseline,Ranta,1,3,2
94,16,LoLa,Ranta,Baseline,1,2,3
95,16,LoLa,Ranta,Baseline,1,2,3
96,16,LoLa,Ranta,Baseline,1,2,3
97,16,LoLa,Ranta,Baseline,1,2,3
98,16,LoLa,Ranta,Baseline,2,1,3
99,16,LoLa,Ranta,Baseline,2,1,3
100,16,LoLa,Ranta,Baseline,1,3,2
101,16,LoLa,Ranta,Baseline,1,3,2
102,17,Baseline,Ranta,LoLa,3,2,1
103,17,Baseline,Ranta,LoLa,3,2,1
104,17,Baseline,Ranta,LoLa,3,2,1
105,17,Baseline,Ranta,LoLa,2,2,1
106,17,Baseline,Ranta,LoLa,3,2,1
107,17,Baseline,Ranta,LoLa,3,2,1
108,17,Baseline,Ranta,LoLa,3,2,1
109,17,Baseline,Ranta,LoLa,3,2,1
110,18,Baseline,Ranta,LoLa,2,2,1
