,segmentId,system1Id,system2Id,system3Id,system1rank,system2rank,system3rank
0,0,LoLa,Ranta,Baseline,1,2,3
1,0,LoLa,Ranta,Baseline,1,2,3
2,0,LoLa,Ranta,Baseline,2,1,3
3,0,LoLa,Ranta,Baseline,1,3,2
4,0,LoLa,Ranta,Baseline,1,2,3
5,0,LoLa,Ranta,Baseline,1,2,3
6,1,Baseline,LoLa,Ranta,2,1,2
7,1,Baseline,LoLa,Ranta,2,1,2
8,1,Baseline,LoLa,Ranta,2,1,3
9,1,Baseline,LoLa,Ranta,2,1,2
10,1,Baseline,LoLa,Ranta,2,1,2
11,1,Baseline,LoLa,Ranta,3,1,2
12,3,Ranta,Baseline,LoLa,1,2,1
13,3,Ranta,Baseline,LoLa,1,2,1
14,3,Ranta,Baseline,LoLa,1,2,1
15,3,Ranta,Baseline,LoLa,1,2,1
16,3,Ranta,Baseline,LoLa,1,2,1
17,3,Ranta,Baseline,LoLa,1,2,1
18,4,Ranta,Baseline,LoLa,2,2,1
19,4,Ranta,Baseline,LoLa,3,2,1
20,4,Ranta,Baseline,LoLa,2,2,1
21,4,Ranta,Baseline,LoLa,2,2,1
22,4,Ranta,Baseline,LoLa,3,2,1
23,4,Ranta,Baseline,LoLa,2,3,1
24,5,LoLa,Ranta,Baseline,1,1,1
25,5,LoLa,Ranta,Baseline,1,1,1
26,5,LoLa,Ranta,Baseline,1,1,1
27,5,LoLa,Ranta,Baseline,1,1,1
28,5,LoLa,Ranta,Baseline,2,2,2
29,5,LoLa,Ranta,Baseline,1,1,1
30,6,LoLa,Baseline,Ranta,1,2,1
31,6,LoLa,Baseline,Ranta,1,2,1
32,6,LoLa,Baseline,Ranta,1,2,1
33,6,LoLa,Baseline,Ranta,1,1,1
34,6,LoLa,Baseline,Ranta,1,2,1
35,6,LoLa,Baseline,Ranta,1,2,1
36,7,Baseline,Ranta,LoLa,3,1,2
37,7,Baseline,Ranta,LoLa,3,1,2
38,7,Baseline,Ranta,LoLa,3,1,2
39,7,Baseline,Ranta,LoLa,3,1,2
40,7,Baseline,Ranta,LoLa,1,2,3
41,7,Baseline,Ranta,LoLa,3,2,1
42,8,Baseline,Ranta,LoLa,3,2,1
43,8,Baseline,Ranta,LoLa,2,2,1
44,8,Baseline,Ranta,LoLa,3,2,1
45,8,Baseline,Ranta,LoLa,2,2,1
46,8,Baseline,Ranta,LoLa,2,2,1
47,8,Baseline,Ranta,LoLa,2,2,1
48,9,Baseline,Ranta,LoLa,2,2,1
49,9,Baseline,Ranta,LoLa,1,1,2
50,9,Baseline,Ranta,LoLa,2,2,1
51,9,Baseline,Ranta,LoLa,2,2,1
52,9,Baseline,Ranta,LoLa,2,2,1
53,9,Baseline,Ranta,LoLa,2,2,1
54,10,LoLa,Ranta,Baseline,1,1,1
55,10,LoLa,Ranta,Baseline,1,1,1
56,10,LoLa,Ranta,Baseline,2,1,2
57,10,LoLa,Ranta,Baseline,1,1,1
58,10,LoLa,Ranta,Baseline,2,2,2
59,10,LoLa,Ranta,Baseline,1,1,1
60,12,Ranta,Baseline,LoLa,2,3,1
61,12,Ranta,Baseline,LoLa,2,3,1
62,12,Ranta,Baseline,LoLa,2,3,1
63,12,Ranta,Baseline,LoLa,1,3,2
64,12,Ranta,Baseline,LoLa,1,3,2
65,12,Ranta,Baseline,LoLa,2,3,1
66,0,LoLa,Ranta,Baseline,1,2,3
67,0,LoLa,Ranta,Baseline,2,1,3
68,0,LoLa,Ranta,Baseline,1,2,3
69,0,LoLa,Ranta,Baseline,1,2,3
70,0,LoLa,Ranta,Baseline,1,2,3
71,0,LoLa,Ranta,Baseline,1,2,3
72,0,LoLa,Ranta,Baseline,2,1,3
73,0,LoLa,Ranta,Baseline,1,2,3
74,1,Baseline,LoLa,Ranta,3,1,3
75,1,Baseline,LoLa,Ranta,2,1,2
76,1,Baseline,LoLa,Ranta,3,1,2
77,1,Baseline,LoLa,Ranta,2,1,2
78,1,Baseline,LoLa,Ranta,2,1,3
79,1,Baseline,LoLa,Ranta,3,1,2
80,1,Baseline,LoLa,Ranta,2,1,3
81,1,Baseline,LoLa,Ranta,2,1,2
82,3,Ranta,Baseline,LoLa,1,2,1
83,3,Ranta,Baseline,LoLa,1,2,1
84,3,Ranta,Baseline,LoLa,1,2,1
